"sample"	"PC1: 65% variance"	"PC2: 11% variance"
"W5S"	83.4897143905133	18.5117691143418
"W3S"	74.3487511555697	50.0208441587218
"NW3S"	69.1324320533501	-37.5809260963629
"NE5S"	66.6876887371745	20.6880534738644
"N4S"	65.0887086625028	-14.4668917640338
"NW4S"	64.5870681512815	-34.9771170553757
"N3S"	64.2486024642964	0.763003751824411
"NW5S"	60.6554480980102	-24.8159743145668
"NE3S"	60.036761249611	-41.2406297787913
"NE4S"	59.7124087544934	-0.970584935484838
"W4S"	57.5580015540525	87.0752458737052
"N2S"	56.6640249407111	-31.690949400098
"NW5L"	-51.9473471819031	15.4134151967152
"NE4L"	-61.9969966520451	-0.133060544090002
"NE5L"	-63.3722817165997	9.45410571161894
"W5L"	-68.2281519562743	4.33678251307034
"N4L"	-71.7779236794032	2.14882821511316
"NW4L"	-74.0001567232807	-5.16449604144223
"N2L"	-74.6533168267758	-6.02596519729737
"N3L"	-74.7031625246259	9.38438633640081
"NW3L"	-76.2096821341243	-7.7138859708177
"NE3L"	-80.0950574428051	-11.2842928724852
"W3L"	-85.2255333737294	-1.73166037453028
