gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorDNAU-19	MarorDNAU-19	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
MarorDNAU-2	MarorDNAU-2	1	13	1	35	3	38	1	42	0	39	1	24	0	12	1	19	2	26	0	11	13	0	18
MarorDNAU-3	MarorDNAU-3	0	0	0	0	0	0	0	0	2	3	0	1	0	1	0	2	0	0	0	0	0	0	0
MarorDNAU-4	MarorDNAU-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MarorDNAU-5	MarorDNAU-5	2	1	3	8	5	7	12	10	3	9	4	7	4	8	6	5	5	2	5	1	1	9	4
MarorDNAU-6	MarorDNAU-6	4	6	6	5	7	2	11	3	2	5	5	3	12	1	4	3	4	2	1	3	0	4	2
MarorDNAU-7	MarorDNAU-7	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1
MarorDNAU-8	MarorDNAU-8	593	574	512	988	469	1177	553	1394	353	792	298	876	557	956	561	1264	398	631	577	745	159	459	330
MarorDNAU-9	MarorDNAU-9	0	2	1	0	1	0	1	0	0	1	2	0	2	0	0	0	0	0	1	0	1	0	0
MarorGypsy-1	MarorGypsy-1	770.22	576.439	574.415	898.189	538	1236.35	755.545	1439.938	345.001	906.096	341	638.153	668	1477.05	764.315	1222.591	393	727.295	1564.932	738.136	108.002	1533.645	345.417
MarorGypsy-10	MarorGypsy-10	0	0	2	0	1	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
MarorGypsy-11	MarorGypsy-11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MarorGypsy-12	MarorGypsy-12	0.983	3.754	2.027	13.821	0	14.289	1	4.237	2.143	8.251	1.025	20.607	1.016	10.112	1.026	13.247	2	4.986	2.043	11.807	5.017	1.011	13.906
MarorGypsy-13	MarorGypsy-13	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0
MarorGypsy-14	MarorGypsy-14	0	0	3	0	0	2.732	2	0	0	1.498	0	0	0	0	5	0	0	0	0	0	2	0	0
MarorGypsy-15	MarorGypsy-15	1	0	1	4	0	1	0	1	0	0	0	2	0	1	2	0	0	0	1	1	3	1	0
MarorGypsy-16	MarorGypsy-16	0	0	2	1.064	0	8.081	1.342	2	0	1	0	5.838	2	5	1	5	2	3.394	0	3.735	2	1	2.615
MarorGypsy-17	MarorGypsy-17	27.011	19	25	45.029	33.884	39.014	71	48.028	22.016	23	31.922	17	81.061	16	68.625	38	28	29	153.077	33	8	60	14.014
MarorGypsy-18	MarorGypsy-18	85	70	67	106	62	135	61	205	56	97	45	75	101	196	105	140	60	87	108	157	29	89	46
MarorGypsy-19	MarorGypsy-19	1138.78	1416.561	821.585	1694.811	923	2906.65	639.455	2370.062	600.999	1405.904	549	1094.847	798	3035.95	992.685	2806.409	711	1369.705	864.068	1043.864	140.998	856.355	993.583
MarorGypsy-2	MarorGypsy-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MarorGypsy-20	MarorGypsy-20	2	1	2	3	0	5	1	2	0	4	0	1	0	6	2	2	0	1	0	1	0	1	1
MarorGypsy-21	MarorGypsy-21	19	34	38	265	19	291	22	129	30	241	39	457	18	231	17	197	47	137	19	368	161	30	306
MarorGypsy-22	MarorGypsy-22	2	2	5	4	2	7	10	4	0	7	2	1	1	0	4	4	0	4	5	0	3	5	4
MarorGypsy-23	MarorGypsy-23	16.097	33.96	5.19	24.185	20.13	26.416	16.091	21.145	5.282	37.728	5.941	16.751	9.704	24.306	10.679	38.77	20.775	2.036	31.655	0	0	8.473	13.882
MarorGypsy-24	MarorGypsy-24	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MarorGypsy-25	MarorGypsy-25	2	5	2	9	1	7	2	5	2	3	0	4	0	6	0	2	3	1	0	9	0	1	1
MarorGypsy-26	MarorGypsy-26	7.903	8.004	46.73	34.773	21.756	44.376	22.662	18.855	22.718	22.248	20.059	39.181	23.296	11.351	22.034	13.739	13.225	22.6	20.083	26.875	14	21.278	26.118
MarorGypsy-27	MarorGypsy-27	26	20	35	25	29	45	29	31	20	24	38	16	17	10	32	26	14	33	28	18	3	44	11
MarorGypsy-28	MarorGypsy-28	0	0	0	4	0	1.268	0	4	0	1.502	0	3	0	0	0	0	0	0	1	9	0	5	1
MarorGypsy-29	MarorGypsy-29	431	168	263	478	300	580	266	887	184	286	178	316	267	915	293	618	170	306	240	304	48	255	134
MarorGypsy-3	MarorGypsy-3	8	32	3	116	3	160	3	158	4	146	1	63	7	205	2	196	7	55	4	94	26	3	57
MarorGypsy-30	MarorGypsy-30	2	2	5.674	2.098	4.926	1	2	6	2	7.975	4	4	5.981	3	2.172	0	0	2.343	7.443	3.407	10.993	5	0
MarorGypsy-4	MarorGypsy-4	28.017	144.246	52.973	788.179	50	661.711	6	64.763	9.857	285.749	43.975	667.393	34.984	312.888	20.974	274.753	27	26.014	67.957	372.193	335.983	43.989	320.094
MarorGypsy-5	MarorGypsy-5	1813	1654	1461	4214	1516	4357	1649	3766	1233	3083	1076	2977	1193	3662	1802	3713	1219	2966	1292	2816	455	1538	1566
