baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,DE
357.4463797878794,3.3132714312864135,0.17692080297328325,18.72742704986903,3.102981248539325e-57,4.685501685294381e-55,Significant
924.4573573859035,2.3913072570023197,0.12563219383413438,19.03419166714097,1.617036338424488e-51,1.2208624355104886e-49,Significant
161.88296381701636,3.2820585404743388,0.1951627099312895,16.81703713598692,2.0843516238914444e-46,1.049123650692027e-44,Significant
47.94485922249921,4.576818266056569,0.31852184851712406,14.368930380643935,8.284647449202022e-38,3.1274544120737634e-36,Significant
2437.5150410069523,-2.137736735194575,0.15222894686850819,-14.042905631089349,2.7056761898828078e-27,8.17114209344608e-26,Significant
25.978102831465886,3.1593515844579816,0.31683660641009725,9.971548490734296,2.36044229148842e-17,4.455334825184393e-16,Significant
7.9831679392848525,-4.622911439136854,0.5354465843132497,-8.633749050927431,6.80602319209876e-15,1.0277095020069127e-13,Significant
44.31435288038207,-2.0434389092677887,0.20310405563076495,-10.061044339669312,1.48923594033343e-14,2.0443147908213447e-13,Significant
11.41024685144368,3.8641663855639745,0.45151798692572875,8.558167110626316,4.639094257127465e-14,5.837526940218728e-13,Significant
11.443697714367095,4.730154013617849,0.5850879893204728,8.084517371671735,2.415949442202996e-13,2.806218198251172e-12,Significant
141.32983856579776,2.6674610746899554,0.33455757978689926,7.973100105485665,4.6292140588893786e-11,4.368820768076851e-10,Significant
5.399586669975192,5.141470373690149,0.7273997745106715,7.068287005105086,8.80254444885506e-11,7.818730657512436e-10,Significant
18.188087925317546,3.7499753544428223,0.512442043558868,7.317852626610319,1.1330317559514791e-10,9.50487750825963e-10,Significant
206.66955123200418,3.041163548462205,0.44009710485752923,6.91021030335273,3.868334274607814e-9,3.074307765609368e-8,Significant
8.800681241081884,3.535008443740302,0.5278995154543115,6.696366145928485,4.48291621841038e-9,3.384601744899837e-8,Significant
22.149986607842205,2.2139228465332077,0.32554699945503335,6.8006243345486865,7.019097009459164e-8,4.4161818684513913e-7,Significant
640.4826818612587,3.159761882862859,0.5676012896843509,5.566868751514001,1.3932509320168748e-6,8.415235629381924e-6,Significant
5.607898473583605,2.9422436431087053,0.5311714633166531,5.539159850074086,2.1344705902823448e-6,1.2177935114198166e-5,Significant
7.17999667654665,2.979010514358042,0.5479445866065618,5.436700329146691,3.031337107101805e-6,1.5257730105745751e-5,Significant
3.313230451502888,3.760104932480774,0.7516297755127007,5.002602418080013,7.216749088544915e-6,3.405403476157132e-5,Significant
3.2900096600694093,3.2526561717543276,0.6589972501395731,4.935765924767406,1.4772709838971372e-5,6.759633896014174e-5,Significant
8.872531974338969,2.025392044393958,0.3951248928266033,5.125954049376437,5.657043863885746e-5,2.512393010137493e-4,Significant
1.653050852120028,-3.199730131562218,0.7860313890091434,-4.070740909718299,2.9793520110876645e-4,0.0012853775819263924,Significant
1.6420370371671313,2.6129467703844664,0.7861746174613198,3.3236213842951052,0.003635586114528264,0.012766825657994602,Significant
2.0630250507252508,-2.09485682270964,0.6136354823212735,-3.413845651143201,0.004686138956818569,0.015724599610657867,Significant
0.9389656058535709,2.894237480613724,0.9603961835920312,3.0135870280000754,0.006538504797208961,0.02146335270388159,Significant
2.1896500738034033,2.1617556382152636,0.6856225912496013,3.1529819259241343,0.007733018338548848,0.02432678685668492,Significant
